county,house_type,est_price,zipcode,lat,lng
San Francisco ,Single Family,3012090,94109,37.792778,-122.42188
Los Angeles ,Single Family,749241,90250,33.914614,-118.35092
Contra Costa ,Single Family,638496,94565,38.017917,-121.90502
Los Angeles ,Single Family,1993682,90046,34.098908,-118.36241
Alameda ,Single Family,1251164,94501,37.769528,-122.25937
San Francisco ,Single Family,1775311,94110,37.74873,-122.41545
Los Angeles ,Single Family,1608020,90034,34.03056,-118.39804
Sacramento ,Single Family,642146,95630,38.672127,-121.15783
Los Angeles ,Single Family,525943,90805,33.865916,-118.18362
Los Angeles ,Single Family,539825,90650,33.906914,-118.08339
Los Angeles ,Single Family,497987,90044,33.953814,-118.29158
Orange ,Single Family,789571,92683,33.751418,-117.99392
San Bernardino ,Single Family,767746,91709,33.975267,-117.72305
Napa ,Single Family,784829,94558,38.337243,-122.30027
Los Angeles ,Single Family,1101742,90026,34.07851,-118.26596
San Diego ,Single Family,619733,91910,32.638654,-117.06686
Fresno ,Single Family,270227,93722,36.801603,-119.88878
Solano ,Single Family,435541,94533,38.269582,-122.03701
Sacramento ,Single Family,466164,95608,38.628371,-121.32702
Orange ,Single Family,1094031,92677,33.531938,-117.7025
Los Angeles ,Single Family,1727643,90066,34.002011,-118.43083
San Bernardino ,Single Family,512355,92336,34.125147,-117.45818
Sacramento ,Single Family,316636,95823,38.477508,-121.44561
San Bernardino ,Single Family,283239,92345,34.399992,-117.33999
Placer ,Single Family,543787,95747,38.768829,-121.33629
Orange ,Single Family,683314,92804,33.818165,-117.97304
San Diego ,Single Family,738036,92126,32.914346,-117.14116
Riverside ,Single Family,444248,92503,33.91355,-117.46052
San Diego ,Single Family,570982,91911,32.608799,-117.0607
San Diego ,Single Family,666860,92101,32.719601,-117.16246
Los Angeles ,Single Family,1315050,90019,34.048411,-118.34015
Alameda ,Single Family,1253510,94536,37.562218,-121.99433
Riverside ,Single Family,549943,92592,33.495343,-117.07657
Los Angeles ,Single Family,496322,90280,33.944264,-118.1949
Los Angeles ,Single Family,493302,90201,33.972814,-118.17385
San Bernardino ,Single Family,523928,91730,34.104555,-117.58734
Los Angeles ,Single Family,1728077,90004,34.07711,-118.30755
San Diego ,Single Family,1336153,92109,32.791246,-117.24343
Los Angeles ,Single Family,621981,91342,34.307877,-118.42904
Los Angeles ,Single Family,584886,90706,33.888165,-118.1276
San Bernardino ,Single Family,390947,92335,34.088911,-117.45213
Santa Clara ,Single Family,1137357,95123,37.244426,-121.83246
San Diego ,Single Family,576386,92021,32.8201,-116.91234
Ventura ,Single Family,670596,93065,34.265003,-118.77177
Orange ,Single Family,1092667,92627,33.647028,-117.91506
Los Angeles ,Single Family,1734966,90025,34.045006,-118.44527
Santa Clara ,Single Family,1235710,95035,37.436451,-121.89438
San Bernardino ,Single Family,568885,91710,34.015963,-117.68737
Los Angeles ,Single Family,459656,90011,34.007063,-118.25868
Alameda ,Single Family,748428,94544,37.633732,-122.06101
Los Angeles ,Single Family,1835943,90027,34.111208,-118.28842
Fresno ,Single Family,290071,93727,36.753177,-119.69703
Alameda ,Single Family,1163055,94568,37.714179,-121.92567
Santa Clara ,Single Family,1701994,95051,37.346241,-121.9846
Los Angeles ,Single Family,657353,91335,34.200104,-118.54099
Solano ,Single Family,475486,95687,38.34401,-121.95333
Los Angeles ,Single Family,711612,90731,33.732368,-118.28905
Los Angeles ,Single Family,301830,93550,34.56548,-118.08549
Los Angeles ,Single Family,395581,93536,34.728857,-118.32683
Orange ,Single Family,874751,92630,33.640223,-117.69108
Contra Costa ,Single Family,493665,94509,37.991571,-121.80207
Sacramento ,Single Family,449248,95758,38.406432,-121.43673
Kern ,Single Family,219717,93306,35.396411,-118.92268
Kern ,Single Family,184268,93307,35.324767,-118.96329
Los Angeles ,Single Family,279073,93535,34.691946,-117.97756
San Francisco ,Single Family,1579237,94122,37.75838,-122.48478
Tulare ,Single Family,223187,93274,36.201451,-119.34994
Tulare ,Single Family,207990,93257,36.055121,-119.01595
Kings ,Single Family,240938,93230,36.327063,-119.6451
Kern ,Single Family,228032,93309,35.340759,-119.06497
Alameda ,Single Family,748348,94541,37.674431,-122.08883
Alameda ,Single Family,1145862,94538,37.527237,-121.9679
Santa Cruz ,Single Family,680351,95076,36.922902,-121.77224
Los Angeles ,Single Family,479111,90802,33.769018,-118.19225
Contra Costa ,Single Family,746776,94513,37.932123,-121.70381
Orange ,Single Family,728081,90631,33.934513,-117.95159
San Diego ,Single Family,826973,92104,32.742892,-117.12774
Orange ,Single Family,884914,92647,33.725167,-118.00509
San Diego ,Single Family,556490,92154,32.574398,-117.05633
Orange ,Single Family,1308828,92618,33.659639,-117.73948
San Diego ,Single Family,663267,92115,32.7603,-117.07031
Stanislaus ,Single Family,363830,95355,37.673513,-120.95566
Alameda ,Single Family,1071660,94587,37.592184,-122.04577
Sacramento ,Single Family,384722,95670,38.605355,-121.28247
Orange ,Single Family,1066033,92646,33.666269,-117.9693
Orange ,Single Family,1174126,92620,33.714889,-117.7633
Santa Clara ,Single Family,2593027,95014,37.317909,-122.04779
San Bernardino ,Single Family,379442,92376,34.109511,-117.37617
Santa Clara ,Single Family,1005579,95112,37.348541,-121.88627
San Mateo ,Single Family,1202883,94080,37.652857,-122.4301
Orange ,Single Family,1312621,92648,33.673468,-118.00243
San Diego ,Single Family,1523832,92130,32.946776,-117.21918
San Diego ,Single Family,526953,92105,32.741256,-117.0951
San Diego ,Single Family,1034517,92122,32.856447,-117.21143
Placer ,Single Family,524551,95648,38.902873,-121.29795
